file_path,chip,temperature,device_index,vds,method,vth,gm_max,idx,num_points
./chip5/185K/Nmos/2.txt,chip5,185K,2,0.1,traditional,0.6397149220489974,0.00014966666666666644,29,41
./chip5/185K/Nmos/2.txt,chip5,185K,2,1.2,sqrt,0.4852274670791664,0.02377811692235357,25,41
./chip5/185K/Nmos/3.txt,chip5,185K,3,0.1,traditional,0.6151374819102753,0.003455000000000005,28,41
./chip5/185K/Nmos/3.txt,chip5,185K,3,1.2,sqrt,0.4528847122628459,0.11522806246045159,23,41
./chip5/185K/Nmos/4.txt,chip5,185K,4,0.1,traditional,0.6206567366283003,0.001230833333333332,29,41
./chip5/185K/Nmos/4.txt,chip5,185K,4,1.2,sqrt,0.5135088387574156,0.07018723434731716,26,41
./chip5/220K/Nmos/1.txt,chip5,220K,1,0.1,traditional,0.5822544508901784,8.331666666666675e-05,27,41
./chip5/220K/Nmos/1.txt,chip5,220K,1,1.2,sqrt,0.4207965934436757,0.017535369981425623,22,41
./chip5/220K/Nmos/2.txt,chip5,220K,2,0.1,traditional,0.629686855200874,0.0001373166666666667,31,41
./chip5/220K/Nmos/2.txt,chip5,220K,2,1.2,sqrt,0.46839783379904565,0.022686169055369937,24,41
./chip5/220K/Nmos/3.txt,chip5,220K,3,0.1,traditional,0.5998171216538565,0.0031441666666666684,26,40
./chip5/220K/Nmos/3.txt,chip5,220K,3,1.2,sqrt,0.4376611720804929,0.11022918684385874,23,41
./chip5/220K/Nmos/4.txt,chip5,220K,4,0.1,traditional,0.6004255319148941,0.0010575000000000024,28,41
./chip5/220K/Nmos/4.txt,chip5,220K,4,1.2,sqrt,0.4935317270955308,0.06514319166068594,26,41
./chip5/295K/Nmos/1.txt,chip5,295K,1,0.1,traditional,0.5471982004498875,6.668333333333332e-05,26,41
./chip5/295K/Nmos/1.txt,chip5,295K,1,1.2,sqrt,0.3804947292054461,0.015709541603769944,22,41
./chip5/295K/Nmos/2.txt,chip5,295K,2,0.1,traditional,0.5871746705044691,0.00011001666666666675,28,41
./chip5/295K/Nmos/2.txt,chip5,295K,2,1.2,sqrt,0.4265705250272702,0.020209536696575367,25,41
./chip5/295K/Nmos/3.txt,chip5,295K,3,0.1,traditional,0.5602814123216514,0.0025348333333333316,26,41
./chip5/295K/Nmos/3.txt,chip5,295K,3,1.2,sqrt,0.39801859263982214,0.09854460749578736,22,41
./chip5/295K/Nmos/4.txt,chip5,295K,4,0.1,traditional,0.5556420735642076,0.0007748333333333344,28,41
./chip5/295K/Nmos/4.txt,chip5,295K,4,1.2,sqrt,0.4452050101337558,0.05518147408093471,25,41
./chip5/85K/Nmos/1.txt,chip5,85K,1,0.1,traditional,0.6338583755649914,0.00012168333333333352,28,41
./chip5/85K/Nmos/1.txt,chip5,85K,1,1.2,sqrt,0.4713522550974261,0.020954842236067403,24,41
./chip5/85K/Nmos/2.txt,chip5,85K,2,0.1,traditional,0.673981351161154,0.00018946666666666654,30,41
./chip5/85K/Nmos/2.txt,chip5,85K,2,1.2,sqrt,0.5242765405567915,0.02720409562852681,25,41
./chip5/85K/Nmos/3.txt,chip5,85K,3,0.1,traditional,0.6506098541403472,0.00435350000000001,28,41
./chip5/85K/Nmos/3.txt,chip5,85K,3,1.2,sqrt,0.4883244417680249,0.130376146320956,24,41
./chip5/85K/Nmos/4.txt,chip5,85K,4,0.1,traditional,0.6651898249976089,0.0017428333333333306,29,41
./chip5/85K/Nmos/4.txt,chip5,85K,4,1.2,sqrt,0.5621012074714629,0.0852570379853757,26,41
