device_type,device_index,temp_avg,method,vds,dvth_dt_mean,dvth_dt_std,dvth_dt_count,vth_low_mean,vth_high_mean,temp_low_mean,temp_high_mean
pmos,3,202.5,sqrt,0.0,0.0007380233891438168,2.783848922574713e-05,2,-0.41041643626831614,-0.3845856176482826,185.0,220.0
pmos,3,257.5,traditional,1.1,0.0007399652529565669,9.160913299206279e-06,2,-0.5223305853886175,-0.46683319141687507,220.0,295.0
pmos,3,257.5,sqrt,0.0,0.0007675367915914925,3.805351574734267e-06,2,-0.3845856176482826,-0.3270203582789206,220.0,295.0
pmos,4,100.0,traditional,1.1,0.0009755896354574966,1.2883941732855231e-05,2,-0.6648463170109513,-0.6355786279472264,85.0,115.0
pmos,4,100.0,sqrt,0.0,0.000911785717769048,4.2908410481122606e-05,2,-0.5654472261384428,-0.5380936546053714,85.0,115.0
pmos,4,127.5,traditional,1.1,0.0008600617953962889,0.00010955103267019735,3,-0.6359413075203733,-0.6144397626354661,115.0,140.0
pmos,4,127.5,sqrt,0.0,0.0008798200510325405,0.0001321706468762211,3,-0.5392739699943809,-0.5172784687185674,115.0,140.0
pmos,4,162.5,traditional,1.1,0.0009329415261768876,5.384231234689593e-05,3,-0.6144397626354661,-0.572457393957506,140.0,185.0
pmos,4,162.5,sqrt,0.0,0.000959838077403594,3.988234659016199e-05,3,-0.5172784687185674,-0.4740857552354057,140.0,185.0
pmos,4,202.5,traditional,1.1,0.0008241008973556381,7.854541068320108e-05,3,-0.572457393957506,-0.5436138625500587,185.0,220.0
pmos,4,202.5,sqrt,0.0,0.0010363716171686178,0.0002843031466340301,3,-0.4740857552354057,-0.4378127486345041,185.0,220.0
pmos,4,257.5,traditional,1.1,0.0007793744187870463,4.177115109935233e-05,2,-0.5428171668820828,-0.4843640854730543,220.0,295.0
pmos,4,257.5,sqrt,0.0,0.0008223894285685285,1.8934399892746123e-05,2,-0.44448281006766444,-0.3828036029250248,220.0,295.0
