device_type,device_index,temp_avg,method,vds,vth_diff_mean,vth_diff_std,vth_diff_count,temp_diff_mean,vth_mean,vth_ref_295k_mean
pmos,1,140.0,traditional,1.1,-0.10253426903252598,0.008283005236004903,3,-155.0,-0.6211593894951024,-0.5186251204625765
pmos,1,185.0,sqrt,0.0,-0.07550466774695985,0.005113763982273926,3,-110.0,-0.4538722143784266,-0.3783675466314667
pmos,1,185.0,traditional,1.1,-0.06553910780813466,0.00788934983313097,3,-110.0,-0.5841642282707111,-0.5186251204625765
pmos,1,220.0,sqrt,0.0,-0.031090279928057667,0.03201240159084971,3,-75.0,-0.4094578265595244,-0.3783675466314667
pmos,1,220.0,traditional,1.1,-0.05084219298702112,0.021707024427018197,3,-75.0,-0.5694673134495977,-0.5186251204625765
pmos,2,85.0,sqrt,0.0,-0.1636247274758226,0.011232179068447739,3,-210.0,-0.5578253928108317,-0.39420066533500914
pmos,2,85.0,traditional,1.1,-0.1677846359603764,0.003126629347530194,3,-210.0,-0.6843300905058308,-0.5165454545454543
pmos,2,115.0,sqrt,0.0,-0.14439813330213,0.009254144224206397,3,-180.0,-0.5385987986371391,-0.39420066533500914
pmos,2,115.0,traditional,1.1,-0.14754161150490816,0.0037122936797863043,3,-180.0,-0.6640870660503624,-0.5165454545454543
pmos,2,140.0,sqrt,0.0,-0.12903433972032566,0.008312177197447024,3,-155.0,-0.5232350050553348,-0.39420066533500914
pmos,2,140.0,traditional,1.1,-0.1316546920985148,0.005638741281399784,3,-155.0,-0.6482001466439691,-0.5165454545454543
pmos,2,185.0,sqrt,0.0,-0.09147898395784178,0.005545709324411068,3,-110.0,-0.48567964929285085,-0.39420066533500914
pmos,2,185.0,traditional,1.1,-0.09483290971565501,0.005986054849970757,3,-110.0,-0.6113783642611094,-0.5165454545454543
pmos,2,220.0,sqrt,0.0,-0.0370798554685541,0.05178484924721574,3,-75.0,-0.4312805208035632,-0.39420066533500914
pmos,2,220.0,traditional,1.1,-0.06870500362197374,0.003983593956013388,3,-75.0,-0.5852504581674279,-0.5165454545454543
pmos,3,85.0,sqrt,0.0,-0.18329540690519486,0.05049153598355574,3,-210.0,-0.5108047183096033,-0.3275093114044085
pmos,3,85.0,traditional,1.1,-0.16814760422251016,0.025755321030181296,3,-210.0,-0.6351006775866871,-0.46695307336417685
pmos,3,115.0,sqrt,0.0,-0.13565892983662356,0.0010333577894144675,2,-180.0,-0.46316824124103206,-0.3275093114044085
pmos,3,115.0,traditional,1.1,-0.13300362278810185,0.0016495013237975873,2,-180.0,-0.5999566961522786,-0.46695307336417685
pmos,3,140.0,sqrt,0.0,-0.11930678918670543,0.0029641493351248763,2,-155.0,-0.4468161005911139,-0.3275093114044085
pmos,3,140.0,traditional,1.1,-0.1162879957563796,0.0010982654165623265,2,-155.0,-0.5832410691205565,-0.46695307336417685
pmos,3,185.0,sqrt,0.0,-0.0829071248639077,0.0005682643495766213,2,-110.0,-0.41041643626831614,-0.3275093114044085
pmos,3,185.0,traditional,1.1,-0.08186303961119129,0.0012432423570841989,2,-110.0,-0.5488161129753681,-0.46695307336417685
pmos,3,220.0,sqrt,0.0,-0.05707630624387411,0.0004060827733245297,2,-75.0,-0.3845856176482826,-0.3275093114044085
pmos,3,220.0,traditional,1.1,-0.055377512024440745,0.0005175298216825955,2,-75.0,-0.5223305853886175,-0.46695307336417685
pmos,4,85.0,sqrt,0.0,-0.18200764100866967,0.000942621186148134,2,-210.0,-0.5654472261384428,-0.3834395851297731
pmos,4,85.0,traditional,1.1,-0.17958019082131466,0.0010273390474161714,2,-210.0,-0.6648463170109513,-0.48526612618963666
pmos,4,115.0,sqrt,0.0,-0.15583438486460785,0.002581782556083555,3,-180.0,-0.5392739699943809,-0.3834395851297731
pmos,4,115.0,traditional,1.1,-0.1506751813307366,0.0011807225117993817,3,-180.0,-0.6359413075203733,-0.48526612618963666
pmos,4,140.0,sqrt,0.0,-0.13383888358879434,0.0007500347384614195,3,-155.0,-0.5172784687185674,-0.3834395851297731
pmos,4,140.0,traditional,1.1,-0.12917363644582938,0.001791093241949903,3,-155.0,-0.6144397626354661,-0.48526612618963666
pmos,4,185.0,sqrt,0.0,-0.09064617010563263,0.0017683181666999673,3,-110.0,-0.4740857552354057,-0.3834395851297731
pmos,4,185.0,traditional,1.1,-0.08719126776786944,0.002395850525244036,3,-110.0,-0.572457393957506,-0.48526612618963666
pmos,4,220.0,sqrt,0.0,-0.054373163504731,0.011558750138344162,3,-75.0,-0.4378127486345041,-0.3834395851297731
pmos,4,220.0,traditional,1.1,-0.0583477363604221,0.0019049120972750785,3,-75.0,-0.5436138625500587,-0.48526612618963666
